+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| admin.localhost    | GET|HEAD                               | /                                                           | admin.home                                       | App\Http\Controllers\Admin\HomeController@index                              | web,auth,role:admin,active                                                                                               |
| merchant.localhost | GET|HEAD                               | /                                                           | admin2.home                                      | App\Http\Controllers\TAdmin\HomeController@index                             | web,auth,role:merchant,active,merchantCompany                                                                            |
| bc.localhost       | GET|HEAD                               | /                                                           | bc.                                              | App\Http\Controllers\OctoController@index                                    | web,localize,localizationRedirect                                                                                        |
| localhost          | GET|HEAD                               | /                                                           | site.                                            | App\Http\Controllers\OctoController@index                                    | web,localize,localizationRedirect                                                                                        |
| bc.localhost       | GET|HEAD                               | account-deletion                                            | bc.                                              | Closure                                                                      | web,localize,localizationRedirect                                                                                        |
| api.localhost      | GET|HEAD                               | address/recent                                              | api.address.getRecentAddress                     | App\Http\Controllers\Api\AddressController@getRecentAddress                  | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | address/saved                                               | api.address.getSavedAddress                      | App\Http\Controllers\Api\AddressController@getSavedAddress                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | address/saved                                               | api.address.addSavedAddress                      | App\Http\Controllers\Api\AddressController@addSavedAddress                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | address/saved/{address}                                     | api.address.getSavedAddress                      | App\Http\Controllers\Api\AddressController@getSavedAddress                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
